image,K,num_pixels,psnr_plain_cipher_db,psnr_plain_wrongkey_db,psnr_roundtrip_db
2.2.01,240,1048576,8.4874,8.4850,Inf
2.2.02,240,1048576,8.7086,8.7157,Inf
2.2.03,240,1048576,8.3714,8.3797,Inf
2.2.04,240,1048576,8.5859,8.5867,Inf
2.2.05,240,1048576,9.4161,9.4169,Inf
2.2.06,240,1048576,8.7902,8.7925,Inf
2.2.07,240,1048576,8.4931,8.4965,Inf
2.2.08,240,1048576,8.5450,8.5524,Inf
2.2.09,240,1048576,8.7139,8.7169,Inf
2.2.10,240,1048576,8.7098,8.7153,Inf
2.2.11,240,1048576,9.1577,9.1679,Inf
2.2.12,240,1048576,9.4371,9.4492,Inf
2.2.13,240,1048576,9.2096,9.2133,Inf
2.2.14,240,1048576,9.5462,9.5515,Inf
2.2.15,240,1048576,9.2744,9.2777,Inf
2.2.16,240,1048576,9.6042,9.6117,Inf
2.2.17,240,1048576,9.3493,9.3627,Inf
2.2.18,240,1048576,9.1852,9.1919,Inf
2.2.19,240,1048576,9.0155,9.0252,Inf
2.2.20,240,1048576,9.3525,9.3609,Inf
2.2.21,240,1048576,8.6023,8.6092,Inf
2.2.22,240,1048576,8.6557,8.6644,Inf
2.2.23,240,1048576,8.7446,8.7555,Inf
2.2.24,240,1048576,9.2783,9.2784,Inf
wash-ir,240,5062500,8.5173,8.5193,Inf
4.1.01,264,65536,7.2916,7.3034,Inf
4.1.02,264,65536,6.2336,6.2501,Inf
4.1.03,264,65536,9.9626,9.9583,Inf
4.1.04,264,65536,8.8346,8.8470,Inf
4.1.05,264,65536,8.9074,8.9146,Inf
4.1.06,264,65536,8.1681,8.1581,Inf
4.1.07,264,65536,8.5739,8.5899,Inf
4.1.08,264,65536,8.6294,8.6435,Inf
4.2.01,264,262144,7.6330,7.6335,Inf
4.2.03,264,262144,8.7821,8.7878,Inf
4.2.05,264,262144,7.9809,7.9888,Inf
4.2.06,264,262144,8.0873,8.0894,Inf
4.2.07,264,262144,8.0834,8.0771,Inf
house,264,262144,8.4671,8.4799,Inf
2.1.01,264,262144,9.4123,9.4166,Inf
2.1.02,264,262144,8.8446,8.8448,Inf
2.1.03,264,262144,8.3603,8.3626,Inf
2.1.04,264,262144,9.3815,9.3793,Inf
2.1.05,264,262144,8.9754,8.9877,Inf
2.1.06,264,262144,9.2259,9.2260,Inf
2.1.07,264,262144,8.7845,8.7825,Inf
2.1.08,264,262144,8.4215,8.4325,Inf
2.1.09,264,262144,8.6847,8.6965,Inf
2.1.10,264,262144,8.6476,8.6582,Inf
2.1.11,264,262144,9.3535,9.3585,Inf
2.1.12,264,262144,8.4578,8.4536,Inf
2.2.01,264,1048576,8.4878,8.4837,Inf
2.2.02,264,1048576,8.7121,8.7103,Inf
2.2.03,264,1048576,8.3743,8.3787,Inf
